,group,time,descript,condition
1,Text,761,35,1
2,Text,540,13,1
3,Text,421,20,1
4,Text,549,15,1
5,Text,776,17,1
6,Text,381,15,1
7,Text,859,28,1
8,Text,900,7,1
9,Text,843,11,1
10,Text,360,17,1
11,Picture,497,16,2
12,Picture,414,15,2
13,Picture,547,19,2
14,Picture,756,17,2
15,Picture,545,10,2
16,Picture,566,25,2
17,Picture,502,16,2
18,Picture,930,32,2
19,Picture,903,17,2
20,Picture,800,16,2
21,Full Diagram,312,9,3
22,Full Diagram,315,31,3
23,Full Diagram,384,28,3
24,Full Diagram,308,22,3
25,Full Diagram,420,17,3
26,Full Diagram,666,38,3
27,Full Diagram,270,9,3
28,Full Diagram,962,30,3
29,Full Diagram,792,15,3
30,Full Diagram,753,25,3
31,Segmented Diagram,480,20,4
32,Segmented Diagram,372,23,4
33,Segmented Diagram,267,14,4
34,Segmented Diagram,923,35,4
35,Segmented Diagram,143,17,4
36,Segmented Diagram,361,35,4
37,Segmented Diagram,540,37,4
38,Segmented Diagram,418,28,4
39,Segmented Diagram,255,36,4
40,Segmented Diagram,722,28,4
